Date,^GSPC,^DJI,^TNX,^IXIC,^RUT
2023-01-03,3824.139892578125,33136.37109375,3.7929999828338623,10386.98046875,1750.72998046875
2023-01-04,3852.969970703125,33269.76953125,3.7090001106262207,10458.759765625,1772.5400390625
2023-01-05,3808.10009765625,32930.078125,3.7200000286102295,10305.240234375,1753.18994140625
2023-01-06,3895.080078125,33630.609375,3.569000005722046,10569.2900390625,1792.800048828125
2023-01-09,3892.090087890625,33517.6484375,3.5169999599456787,10635.650390625,1795.9100341796875
2023-01-10,3919.25,33704.1015625,3.621000051498413,10742.6298828125,1822.6500244140625
2023-01-11,3969.610107421875,33973.01171875,3.553999900817871,10931.669921875,1844.050048828125
2023-01-12,3983.169921875,34189.96875,3.4489998817443848,11001.099609375,1876.06005859375
2023-01-13,3999.090087890625,34302.609375,3.510999917984009,11079.16015625,1887.030029296875
2023-01-17,3990.969970703125,33910.8515625,3.5350000858306885,11095.1103515625,1884.2900390625
2023-01-18,3928.860107421875,33296.9609375,3.375,10957.009765625,1854.3599853515625
2023-01-19,3898.85009765625,33044.55859375,3.3970000743865967,10852.26953125,1836.3499755859375
2023-01-20,3972.610107421875,33375.48828125,3.4839999675750732,11140.4296875,1867.3399658203125
2023-01-23,4019.81005859375,33629.55859375,3.5250000953674316,11364.41015625,1890.77001953125
2023-01-24,4016.949951171875,33733.9609375,3.4690001010894775,11334.26953125,1885.6099853515625
2023-01-25,4016.219970703125,33743.83984375,3.4619998931884766,11313.3603515625,1890.3199462890625
2023-01-26,4060.429931640625,33949.41015625,3.493000030517578,11512.41015625,1903.06005859375
2023-01-27,4070.56005859375,33978.078125,3.5179998874664307,11621.7099609375,1911.4599609375
2023-01-30,4017.77001953125,33717.08984375,3.5510001182556152,11393.8095703125,1885.719970703125
2023-01-31,4076.60009765625,34086.0390625,3.5290000438690186,11584.5498046875,1931.93994140625
2023-02-01,4119.2099609375,34092.9609375,3.3970000743865967,11816.3203125,1960.81005859375
2023-02-02,4179.759765625,34053.94140625,3.3959999084472656,12200.8203125,2001.219970703125
2023-02-03,4136.47998046875,33926.01171875,3.5320000648498535,12006.9501953125,1985.530029296875
2023-02-06,4111.080078125,33891.01953125,3.634000062942505,11887.4501953125,1957.719970703125
2023-02-07,4164.0,34156.69140625,3.6740000247955322,12113.7900390625,1972.6099853515625
2023-02-08,4117.85986328125,33949.01171875,3.6530001163482666,11910.51953125,1942.5999755859375
2023-02-09,4081.5,33699.87890625,3.683000087738037,11789.580078125,1915.3399658203125
2023-02-10,4090.4599609375,33869.26953125,3.74399995803833,11718.1201171875,1918.81005859375
2023-02-13,4137.2900390625,34245.9296875,3.7170000076293945,11891.7900390625,1941.1400146484375
2023-02-14,4136.1298828125,34089.26953125,3.760999917984009,11960.150390625,1939.9100341796875
2023-02-15,4147.60009765625,34128.05078125,3.809000015258789,12070.58984375,1960.969970703125
2023-02-16,4090.409912109375,33696.8515625,3.8429999351501465,11855.830078125,1942.2099609375
2023-02-17,4079.090087890625,33826.69140625,3.828000068664551,11787.26953125,1946.3599853515625
2023-02-21,3997.340087890625,33129.58984375,3.9549999237060547,11492.2998046875,1888.2099609375
2023-02-22,3991.050048828125,33045.08984375,3.9230000972747803,11507.0703125,1894.6800537109375
2023-02-23,4012.320068359375,33153.91015625,3.878999948501587,11590.400390625,1908.0899658203125
2023-02-24,3970.0400390625,32816.921875,3.9489998817443848,11394.9404296875,1890.489990234375
2023-02-27,3982.239990234375,32889.08984375,3.921999931335449,11466.98046875,1896.27001953125
2023-02-28,3970.14990234375,32656.69921875,3.9159998893737793,11455.5400390625,1896.989990234375
2023-03-01,3951.389892578125,32661.83984375,3.99399995803833,11379.48046875,1898.4300537109375
2023-03-02,3981.35009765625,33003.5703125,4.072999954223633,11462.98046875,1902.6600341796875
2023-03-03,4045.639892578125,33390.96875,3.9639999866485596,11689.009765625,1928.260009765625
2023-03-06,4048.419921875,33431.44140625,3.9830000400543213,11675.740234375,1899.760009765625
2023-03-07,3986.3701171875,32856.4609375,3.9749999046325684,11530.330078125,1878.719970703125
2023-03-08,3992.010009765625,32798.3984375,3.9760000705718994,11576.0,1879.47998046875
2023-03-09,3918.320068359375,32254.859375,3.924999952316284,11338.349609375,1826.5899658203125
2023-03-10,3861.590087890625,31909.640625,3.694999933242798,11138.8896484375,1772.699951171875
2023-03-13,3855.760009765625,31819.140625,3.515000104904175,11188.83984375,1744.300048828125
2023-03-14,3919.2900390625,32155.400390625,3.638000011444092,11428.150390625,1776.8900146484375
2023-03-15,3891.929931640625,31874.5703125,3.492000102996826,11434.0498046875,1745.93994140625
2023-03-16,3960.280029296875,32246.55078125,3.5850000381469727,11717.2802734375,1771.239990234375
2023-03-17,3916.639892578125,31861.98046875,3.3949999809265137,11630.509765625,1725.8900146484375
2023-03-20,3951.570068359375,32244.580078125,3.4809999465942383,11675.5400390625,1744.989990234375
2023-03-21,4002.8701171875,32560.599609375,3.6059999465942383,11860.1103515625,1777.739990234375
2023-03-22,3936.969970703125,32030.109375,3.5,11669.9599609375,1727.3599853515625
2023-03-23,3948.719970703125,32105.25,3.4059998989105225,11787.400390625,1720.2900390625
2023-03-24,3970.989990234375,32237.529296875,3.380000114440918,11823.9599609375,1734.9200439453125
2023-03-27,3977.530029296875,32432.080078125,3.5280001163482666,11768.83984375,1753.6700439453125
2023-03-28,3971.27001953125,32394.25,3.563999891281128,11716.080078125,1752.6300048828125
2023-03-29,4027.81005859375,32717.599609375,3.565999984741211,11926.240234375,1771.5999755859375
